iter	Passed	Remaining
483	42909	45746
484	42965	45623
485	43021	45500
486	43078	45378
487	43153	45275
488	43215	45159
489	43277	45043
490	43332	44921
491	43414	44826
492	43473	44708
493	43535	44593
494	43682	44564
495	43848	44555
496	44013	44545
497	44153	44508
498	44324	44502
499	44505	44505
500	44687	44508
501	44750	44393
502	44806	44272
503	44865	44152
504	44945	44055
505	45004	43936
506	45059	43815
507	45118	43697
508	45202	43604
509	45342	43564
510	45450	43493
511	45515	43382
512	45570	43260
513	45625	43139
514	45704	43042
515	45760	42922
516	45815	42802
517	45887	42697
518	45975	42609
519	46022	42482
520	46078	42363
521	46160	42269
522	46257	42189
523	46321	42078
524	46384	41966
525	46439	41848
526	46525	41758
527	46585	41644
528	46644	41530
529	46716	41428
530	46795	41331
531	46849	41213
532	46905	41097
533	46963	40982
534	47033	40879
535	47100	40773
536	47171	40670
537	47227	40556
538	47322	40474
539	47378	40359
540	47438	40248
541	47492	40132
542	47571	40036
543	47627	39923
544	47685	39810
545	47740	39696
546	47817	39600
547	47868	39482
548	47928	39373
549	47984	39259
550	48064	39166
551	48120	39054
552	48178	38943
553	48238	38834
554	48324	38746
555	48380	38635
556	48437	38523
557	48530	38441
558	48585	38329
559	48645	38221
560	48700	38109
561	48784	38020
562	48843	37912
563	48900	37802
564	48954	37690
565	49033	37598
566	49093	37491
567	49149	37381
568	49203	37269
569	49277	37174
570	49341	37071
571	49400	36964
572	49457	36856
573	49536	36763
574	49594	36656
575	49654	36551
576	49700	36435
577	49777	36342
578	49840	36239
579	49900	36135
580	49957	36027
581	50046	35944
582	50101	35835
583	50165	35734
584	50219	35625
585	50301	35537
586	50346	35422
587	50418	35326
588	50476	35221
589	50561	35136
590	50619	35031
591	50671	34921
592	50729	34817
593	50812	34730
594	50858	34618
595	50915	34513
596	50977	34412
597	51063	34326
598	51124	34225
599	51181	34121
600	51246	34021
601	51331	33936
602	51383	33829
603	51433	33721
604	51493	33619
605	51564	33525
606	51628	33426
607	51675	33317
608	51732	33213
609	51803	33120
610	51866	33021
611	51922	32918
612	51976	32813
613	52062	32730
614	52137	32638
615	52196	32538
616	52302	32466
617	52373	32373
618	52443	32279
619	52501	32178
620	52640	32126
621	52699	32026
622	52754	31923
623	52803	31817
624	52859	31715
625	52932	31624
626	52990	31523
627	53155	31486
628	53213	31386
629	53271	31286
630	53331	31187
631	53418	31104
632	53475	31003
633	53545	30911
634	53624	30823
635	53713	30741
636	53771	30642
637	53812	30533
638	53897	30449
639	53954	30349
640	54012	30250
641	54069	30150
642	54144	30061
643	54205	29964
644	54274	29872
645	54329	29772
646	54422	29692
647	54480	29594
648	54534	29494
649	54596	29397
650	54682	29314
651	54745	29219
652	54803	29122
653	54865	29026
654	54951	28943
655	55014	28849
656	55076	28753
657	55141	28660
658	55221	28574
659	55281	28478
660	55337	28380
661	55393	28282
662	55474	28197
663	55532	28101
664	55590	28004
665	55648	27907
666	55717	27816
667	55773	27719
668	55829	27622
669	55884	27524
670	55932	27424
671	56006	27336
672	56061	27239
673	56118	27143
674	56205	27061
675	56269	26969
676	56334	26877
677	56379	26776
678	56456	26690
679	56514	26594
680	56559	26494
681	56617	26399
682	56664	26299
683	56746	26216
684	56803	26121
685	56858	26025
686	56930	25937
687	56989	25843
688	57044	25748
689	57102	25654
690	57147	25554
691	57227	25471
692	57284	25377
693	57336	25280
694	57467	25219
695	57555	25139
696	57615	25046
697	57732	24978
698	57789	24884
699	57868	24800
700	57962	24723
701	58025	24631
702	58085	24539
703	58256	24494
704	58381	24428
705	58444	24338
706	58538	24259
707	58594	24166
708	58656	24074
709	58712	23981
710	58799	23900
711	58892	23821
712	59071	23777
713	59244	23731
714	59362	23661
715	59455	23583
716	59511	23489
717	59588	23403
718	59671	23321
719	59737	23231
720	59810	23144
721	59906	23066
722	59972	22976
723	60067	22898
724	60168	22822
725	60231	22731
726	60300	22643
727	60452	22586
728	60606	22529
729	60658	22435
730	60719	22344
731	60754	22243
732	60810	22150
733	60899	22069
734	60959	21978
735	61022	21888
736	61103	21805
737	61201	21727
738	61355	21669
739	61428	21583
740	61601	21531
741	61696	21452
742	61762	21363
743	61842	21279
744	61930	21197
745	61996	21108
746	62071	21022
747	62242	20969
748	62399	20910
749	62469	20823
750	62530	20732
751	62584	20639
752	62673	20558
753	62730	20466
754	62768	20368
755	62822	20276
756	62885	20186
757	62969	20103
758	63115	20040
759	63239	19970
760	63297	19879
761	63385	19797
762	63421	19699
763	63479	19608
764	63539	19518
765	63595	19427
766	63677	19344
767	63733	19252
768	63788	19161
769	63879	19080
770	63935	18989
771	63994	18899
772	64049	18808
773	64128	18724
774	64188	18635
775	64246	18545
776	64302	18454
777	64371	18368
778	64433	18279
779	64488	18189
780	64545	18099
781	64625	18015
782	64697	17930
783	64757	17841
784	64811	17750
785	64875	17663
786	64933	17574
787	64995	17486
788	65051	17396
789	65138	17315
790	65191	17225
791	65251	17136
792	65306	17047
793	65388	16964
794	65450	16877
795	65508	16788
796	65564	16699
797	65647	16617
798	65706	16529
799	65764	16441
800	65821	16352
801	65898	16269
802	65959	16181
803	66018	16094
804	66070	16004
805	66145	15920
806	66195	15831
807	66236	15739
808	66297	15652
809	66356	15565
810	66432	15481
811	66488	15393
812	66544	15305
813	66621	15223
814	66677	15135
815	66734	15047
816	66796	14961
817	66864	14876
818	66910	14787
819	66957	14698
820	67025	14613
821	67100	14530
822	67167	14445
823	67226	14359
824	67282	14272
825	67361	14189
826	67416	14102
827	67467	14014
828	67525	13928
829	67600	13845
830	67660	13759
831	67718	13673
832	67777	13587
833	67857	13506
834	67912	13419
835	67966	13333
836	68019	13246
837	68085	13162
838	68149	13077
839	68191	12988
840	68242	12901
841	68308	12817
842	68377	12734
843	68435	12649
844	68490	12563
845	68571	12482
846	68627	12396
847	68686	12311
848	68733	12224
849	68810	12143
850	68868	12058
851	68921	11972
852	68980	11887
853	69031	11801
854	69092	11717
855	69149	11632
856	69203	11547
857	69277	11465
858	69335	11381
859	69388	11295
860	69442	11210
861	69521	11129
862	69571	11044
863	69627	10959
864	69665	10872
865	69725	10788
866	69808	10708
867	69857	10623
868	69915	10539
869	70004	10460
870	70063	10376
871	70109	10291
872	70165	10207
873	70196	10119
874	70277	10039
875	70337	9956
876	70393	9872
877	70445	9788
878	70522	9707
879	70574	9623
880	70623	9539
881	70678	9455
882	70748	9374
883	70814	9292
884	70866	9208
885	70921	9125
886	71000	9045
887	71061	8962
888	71123	8880
889	71179	8797
890	71263	8718
891	71298	8632
892	71356	8550
893	71414	8467
894	71460	8383
895	71534	8303
896	71592	8220
897	71648	8138
898	71707	8056
899	71803	7978
900	71840	7893
901	71890	7810
902	71950	7728
903	72016	7647
904	72092	7567
905	72152	7486
906	72198	7402
907	72288	7324
908	72348	7242
909	72404	7160
910	72458	7078
911	72521	6997
912	72585	6916
913	72638	6834
914	72690	6752
915	72770	6673
916	72835	6592
917	72891	6511
918	72948	6429
919	73024	6349
920	73087	6269
921	73130	6186
922	73184	6105
923	73255	6025
924	73324	5945
925	73378	5863
926	73422	5781
927	73484	5701
928	73556	5621
929	73613	5540
930	73677	5460
931	73757	5381
932	73818	5301
933	73876	5220
934	73934	5139
935	74023	5061
936	74084	4981
937	74138	4900
938	74193	4819
939	74234	4738
940	74315	4659
941	74353	4578
942	74414	4498
943	74498	4419
944	74554	4339
945	74607	4258
946	74648	4177
947	74712	4098
948	74779	4018
949	74835	3938
950	74887	3858
951	74976	3780
952	75033	3700
953	75087	3620
954	75131	3540
955	75195	3460
956	75270	3382
957	75326	3302
958	75381	3222
959	75472	3144
960	75519	3064
961	75579	2985
962	75633	2905
963	75692	2826
964	75782	2748
965	75864	2670
966	75953	2591
967	76008	2512
968	76063	2433
969	76117	2354
970	76193	2275
971	76234	2196
972	76268	2116
973	76327	2037
974	76384	1958
975	76438	1879
976	76486	1800
977	76545	1721
978	76613	1643
979	76678	1564
980	76738	1486
981	76778	1407
982	76828	1328
983	76898	1250
984	76961	1171
985	77003	1093
986	77062	1015
987	77140	936
988	77202	858
989	77257	780
990	77311	702
991	77393	624
992	77449	545
993	77487	467
994	77533	389
995	77592	311
996	77677	233
997	77732	155
998	77789	77
999	77845	0
