iter	Logloss
0	0.6227400225
1	0.5683292637
2	0.5315573357
3	0.5002840474
4	0.4697986678
5	0.4443590487
6	0.4065082896
7	0.3884196393
8	0.3717289855
9	0.3561775683
10	0.3425936665
11	0.3295059531
12	0.3179489359
13	0.3060173414
14	0.2921129766
15	0.2852658463
16	0.2796571931
17	0.2737370136
18	0.2668747551
19	0.26009376
20	0.2554757063
21	0.2527295097
22	0.2503720826
23	0.2471636913
24	0.2451585167
25	0.2410204501
26	0.2385224523
27	0.2360724728
28	0.2321740917
29	0.2288568505
30	0.2278476864
31	0.2253508468
32	0.2237592613
33	0.2210066685
34	0.2167218438
35	0.2159175467
36	0.2141282156
37	0.2129783837
38	0.2108292554
39	0.2088589115
40	0.2082434362
41	0.2078661775
42	0.2062529134
43	0.2056463634
44	0.2047435645
45	0.2039596132
46	0.202999743
47	0.2018869754
48	0.2003528481
49	0.1997127128
50	0.1989644052
51	0.1976150443
52	0.1953838541
53	0.1943378186
54	0.1937680056
55	0.1932454533
56	0.1921847279
57	0.1921407346
58	0.19119476
59	0.190963382
60	0.1904507264
61	0.1901767882
62	0.1889895599
63	0.1888155195
64	0.1883447134
65	0.1874727286
66	0.1872347446
67	0.1859543342
68	0.185522053
69	0.1853989838
70	0.1850263313
71	0.1848952701
72	0.1848136137
73	0.1846273309
74	0.184242836
75	0.1838652305
76	0.1836666269
77	0.1830574642
78	0.1827359793
79	0.1824971456
80	0.1823761718
81	0.1814687442
82	0.1814178533
83	0.1804432126
84	0.1801564869
85	0.1800350906
86	0.1797544949
87	0.179413905
88	0.1791374729
89	0.1790512451
90	0.1789103725
91	0.178891641
92	0.178805187
93	0.1787939911
94	0.1786987753
95	0.1786333126
96	0.1779928941
97	0.1778882128
98	0.177722216
99	0.1770885102
100	0.1768553023
101	0.1768295343
102	0.1766137246
103	0.1759391906
104	0.1756871746
105	0.1755911348
106	0.1755338406
107	0.1754799796
108	0.1754048941
109	0.1753889148
110	0.1752816115
111	0.1751714279
112	0.1751001696
113	0.1750472762
114	0.1750217516
115	0.1749531472
116	0.1749441741
117	0.1749041475
118	0.174804211
119	0.174742943
120	0.1743749896
121	0.1743109562
122	0.1737409131
123	0.1732204432
124	0.1731754389
125	0.172994293
126	0.1729666253
127	0.1728986099
128	0.172750334
129	0.1727220361
130	0.1724604117
131	0.1724277653
132	0.1723328318
133	0.1722999896
134	0.1720344815
135	0.17199686
136	0.171762882
137	0.1717510841
138	0.1716723268
139	0.171634549
140	0.1715999027
141	0.1713199455
142	0.1712666335
143	0.1712083889
144	0.1704202909
145	0.1704078147
146	0.1703651414
147	0.170342552
148	0.170226316
149	0.1701526779
150	0.1696687092
151	0.16957537
152	0.169513406
153	0.1690953218
154	0.1689052475
155	0.1688166359
156	0.1687101892
157	0.1687030535
158	0.168533524
159	0.1683103375
160	0.1683037788
161	0.1681677553
162	0.1681001157
163	0.1680833802
164	0.1679979664
165	0.1679743976
166	0.1676184055
167	0.1671709435
168	0.167146896
169	0.1671340824
170	0.167121254
171	0.1671039839
172	0.1670033405
173	0.1668383088
174	0.1668076673
175	0.166675882
176	0.1666573408
177	0.1666501501
178	0.1666071611
179	0.1665475874
180	0.1665451437
181	0.1665427305
182	0.1663908974
183	0.1663345503
184	0.1662088203
185	0.1661919394
186	0.1661882711
187	0.1661524926
188	0.1660463683
189	0.1660372037
190	0.1659849189
191	0.1659556415
192	0.1659541435
193	0.1658980888
194	0.1656603089
195	0.1656197084
196	0.1656037706
197	0.165477455
198	0.1654019856
199	0.1651610473
200	0.1651486497
201	0.165040892
202	0.1650361426
203	0.1650351957
204	0.1647926139
205	0.1647041732
206	0.1646446764
207	0.1646025564
208	0.1644294753
209	0.1640453774
210	0.1639079322
211	0.1637885284
212	0.1635885447
213	0.1635621823
214	0.1635392004
215	0.1635242086
216	0.1634915763
217	0.1634740065
218	0.1634735592
219	0.1633247901
220	0.163311628
221	0.1632838602
222	0.1632715763
223	0.1632277829
224	0.1632041047
225	0.1631672924
226	0.1631608085
227	0.1631313003
228	0.1630847269
229	0.1630523929
230	0.1630450598
231	0.1630101222
232	0.1630053847
233	0.1629065719
234	0.1628830545
235	0.1628828373
236	0.1628091592
237	0.1628002492
238	0.1627950129
239	0.1626357883
240	0.1626159569
241	0.1626120079
242	0.1625831069
243	0.1625420419
244	0.162343221
245	0.162335177
246	0.162334491
247	0.1622143736
248	0.1622138703
249	0.1621842515
250	0.162107463
251	0.1621066426
252	0.162082299
253	0.1620763496
254	0.1619283327
255	0.1619124964
256	0.1618704162
257	0.1618414596
258	0.161777607
259	0.1617249776
260	0.1616608473
261	0.1616362366
262	0.1615783871
263	0.1614960206
264	0.1614703284
265	0.1614408834
266	0.1614390294
267	0.1613841485
268	0.1613823759
269	0.1613736992
270	0.1613561784
271	0.1612894134
272	0.1612815817
273	0.1612722083
274	0.1610421032
275	0.1609773126
276	0.1609569271
277	0.160900248
278	0.1608690924
279	0.1607162444
280	0.1606825684
281	0.1606641558
282	0.1606547222
283	0.1606529839
284	0.1606337408
285	0.1605939934
286	0.1604555023
287	0.1604327573
288	0.1603925429
289	0.1603916163
290	0.1603841711
291	0.1602462279
292	0.1602360619
293	0.160235343
294	0.16022845
295	0.1601157721
296	0.160103605
297	0.1599964692
298	0.1599932577
299	0.1599504375
